pages_visited,session_duration,clicks,javascript_enabled,device_type,mouse_movement,hour_of_visit,is_bot
25,23,51,0.0,desktop,0.0,16,1
2,314,9,1.0,desktop,1.0,8,0
3,285,23,1.0,desktop,1.0,17,0
26,55,58,0.0,desktop,0.0,8,1
4,229,15,1.0,desktop,1.0,14,0
1,391,25,1.0,desktop,1.0,12,0
12,39,55,0.0,desktop,0.0,14,1
3,323,11,1.0,desktop,1.0,11,0
1,350,12,1.0,desktop,1.0,19,0
4,261,12,1.0,mobile,1.0,8,0
2,277,14,1.0,desktop,1.0,22,0
8,324,10,1.0,desktop,1.0,19,0
18,70,61,0.0,desktop,0.0,13,1
5,336,14,1.0,desktop,1.0,20,0
4,368,17,1.0,desktop,1.0,17,0
5,354,17,1.0,desktop,1.0,10,0
1,297,15,1.0,mobile,1.0,20,0
8,276,14,1.0,desktop,1.0,15,0
8,287,9,1.0,mobile,1.0,21,0
28,28,37,0.0,mobile,0.0,6,1
20,32,43,0.0,desktop,0.0,22,1
18,83,47,0.0,desktop,0.0,22,1
5,322,14,1.0,desktop,1.0,7,0
17,62,54,0.0,desktop,0.0,15,1
5,323,9,1.0,mobile,1.0,13,0
17,69,38,0.0,desktop,0.0,18,1
20,53,73,0.0,desktop,0.0,18,1
28,79,46,0.0,desktop,0.0,14,1
18,55,49,0.0,desktop,0.0,5,1
2,357,15,1.0,mobile,1.0,17,0
6,281,10,1.0,mobile,1.0,10,0
8,317,9,1.0,desktop,1.0,14,0
4,194,15,1.0,mobile,1.0,18,0
17,42,57,0.0,desktop,0.0,9,1
4,352,7,1.0,mobile,1.0,11,0
20,69,59,0.0,desktop,0.0,0,1
8,257,17,1.0,mobile,1.0,13,0
3,257,10,1.0,desktop,1.0,8,0
6,361,11,1.0,mobile,1.0,8,0
19,42,59,0.0,desktop,0.0,14,1
23,62,57,0.0,desktop,0.0,13,1
5,275,19,1.0,mobile,1.0,14,0
16,72,43,0.0,mobile,0.0,5,1
18,61,47,0.0,mobile,0.0,14,1
22,74,33,0.0,desktop,0.0,12,1
2,269,21,1.0,tablet,1.0,11,0
21,45,53,0.0,mobile,0.0,3,1
7,321,20,1.0,mobile,1.0,17,0
20,36,48,0.0,mobile,0.0,4,1
24,59,53,0.0,desktop,0.0,3,1
7,280,18,1.0,desktop,1.0,21,0
18,64,53,0.0,mobile,0.0,17,1
16,86,54,0.0,desktop,0.0,2,1
20,64,43,0.0,desktop,0.0,6,1
20,68,46,0.0,desktop,0.0,1,1
21,73,42,0.0,desktop,0.0,9,1
21,61,51,0.0,desktop,0.0,16,1
26,52,57,0.0,desktop,0.0,7,1
20,68,42,0.0,desktop,0.0,7,1
22,90,47,0.0,desktop,0.0,22,1
14,50,49,0.0,desktop,0.0,21,1
16,62,44,0.0,desktop,0.0,13,1
20,66,58,0.0,desktop,0.0,14,1
5,250,15,1.0,mobile,1.0,12,0
22,60,55,0.0,desktop,0.0,7,1
14,72,46,0.0,desktop,0.0,6,1
15,52,47,0.0,desktop,0.0,1,1
6,284,14,1.0,mobile,1.0,8,0
6,272,18,1.0,desktop,1.0,8,0
23,54,55,0.0,desktop,0.0,20,1
21,27,44,0.0,desktop,0.0,2,1
4,270,17,1.0,desktop,1.0,10,0
4,353,13,1.0,tablet,1.0,18,0
23,52,60,0.0,mobile,0.0,11,1
8,333,19,1.0,mobile,1.0,19,0
10,317,16,1.0,desktop,1.0,9,0
27,43,49,0.0,desktop,0.0,7,1
1,243,15,1.0,tablet,1.0,10,0
15,27,56,0.0,desktop,0.0,22,1
4,384,21,1.0,tablet,1.0,20,0
21,24,53,0.0,desktop,0.0,0,1
5,396,16,1.0,tablet,1.0,20,0
21,68,45,0.0,desktop,0.0,8,1
5,338,18,1.0,desktop,1.0,10,0
10,317,12,1.0,desktop,1.0,9,0
20,25,52,0.0,desktop,0.0,11,1
8,304,13,1.0,desktop,1.0,13,0
11,60,40,0.0,mobile,0.0,2,1
24,53,50,0.0,mobile,0.0,4,1
16,68,55,0.0,desktop,0.0,21,1
6,232,9,1.0,desktop,1.0,21,0
5,256,19,1.0,desktop,1.0,18,0
1,263,21,1.0,desktop,1.0,15,0
4,254,9,1.0,mobile,1.0,18,0
10,0,48,0.0,desktop,0.0,0,1
4,314,13,1.0,desktop,1.0,15,0
16,77,51,0.0,desktop,0.0,11,1
19,48,45,0.0,desktop,0.0,9,1
3,359,14,1.0,mobile,1.0,9,0
8,286,14,1.0,desktop,1.0,8,0
2,240,18,1.0,desktop,1.0,9,0
7,395,7,1.0,mobile,1.0,9,0
23,68,43,0.0,desktop,0.0,19,1
15,66,59,0.0,desktop,0.0,9,1
8,250,15,1.0,mobile,1.0,19,0
4,324,19,1.0,desktop,1.0,17,0
28,71,51,0.0,desktop,0.0,3,1
25,43,37,0.0,desktop,0.0,4,1
3,399,14,1.0,desktop,1.0,7,0
9,332,15,1.0,mobile,1.0,7,0
25,-6,49,0.0,desktop,0.0,8,1
26,109,42,0.0,desktop,0.0,20,1
22,40,45,0.0,desktop,0.0,1,1
1,351,20,1.0,mobile,1.0,12,0
9,281,13,1.0,desktop,1.0,8,0
17,63,52,0.0,desktop,0.0,18,1
6,350,15,1.0,mobile,1.0,9,0
26,54,56,0.0,desktop,0.0,20,1
2,244,16,1.0,mobile,1.0,19,0
7,340,19,1.0,desktop,1.0,15,0
24,46,52,0.0,mobile,0.0,2,1
20,25,46,0.0,desktop,0.0,8,1
4,285,15,1.0,desktop,1.0,13,0
22,56,52,0.0,desktop,0.0,16,1
26,64,66,0.0,desktop,0.0,11,1
23,18,53,0.0,desktop,0.0,19,1
3,275,13,1.0,desktop,1.0,19,0
3,275,16,1.0,desktop,1.0,11,0
23,42,35,0.0,desktop,0.0,6,1
17,28,47,0.0,desktop,0.0,17,1
5,277,11,1.0,desktop,1.0,16,0
7,228,11,1.0,desktop,1.0,13,0
16,93,44,0.0,desktop,0.0,15,1
2,420,17,1.0,desktop,1.0,9,0
7,368,14,1.0,desktop,1.0,8,0
4,369,14,1.0,mobile,1.0,18,0
19,50,64,0.0,desktop,0.0,22,1
16,80,48,0.0,desktop,0.0,17,1
19,66,53,0.0,desktop,0.0,3,1
7,266,24,1.0,desktop,1.0,20,0
7,354,13,1.0,desktop,1.0,9,0
4,237,16,1.0,mobile,1.0,20,0
5,378,22,1.0,desktop,1.0,18,0
29,101,57,0.0,desktop,0.0,5,1
18,68,41,0.0,desktop,0.0,3,1
4,246,12,1.0,desktop,1.0,18,0
11,61,58,0.0,desktop,0.0,10,1
19,64,54,0.0,desktop,0.0,4,1
6,304,10,1.0,mobile,1.0,7,0
19,83,47,0.0,desktop,0.0,13,1
5,312,13,1.0,desktop,1.0,10,0
18,44,53,0.0,desktop,0.0,17,1
5,371,16,1.0,mobile,1.0,18,0
30,58,46,0.0,mobile,0.0,9,1
19,37,59,0.0,desktop,0.0,15,1
2,334,13,1.0,mobile,1.0,20,0
19,41,49,0.0,desktop,0.0,4,1
4,270,22,1.0,desktop,1.0,20,0
7,257,18,1.0,mobile,1.0,17,0
5,339,8,1.0,desktop,1.0,21,0
6,320,11,1.0,tablet,1.0,19,0
4,310,16,1.0,tablet,1.0,17,0
12,90,48,0.0,desktop,0.0,17,1
20,60,50,0.0,desktop,0.0,9,1
5,340,20,1.0,desktop,1.0,7,0
13,45,46,0.0,mobile,0.0,5,1
7,403,13,1.0,desktop,1.0,8,0
17,60,51,0.0,desktop,0.0,22,1
22,88,47,0.0,mobile,0.0,4,1
21,25,46,0.0,desktop,0.0,23,1
2,308,10,1.0,desktop,1.0,13,0
16,69,47,0.0,desktop,0.0,13,1
3,324,20,1.0,tablet,1.0,22,0
15,50,44,0.0,desktop,0.0,5,1
6,248,12,1.0,desktop,1.0,7,0
19,79,38,0.0,desktop,0.0,6,1
3,217,24,1.0,desktop,1.0,14,0
18,70,50,0.0,desktop,0.0,21,1
5,381,15,1.0,mobile,1.0,22,0
5,292,9,1.0,desktop,1.0,12,0
6,364,21,1.0,desktop,1.0,7,0
19,52,55,0.0,desktop,0.0,20,1
24,21,52,0.0,desktop,0.0,16,1
3,344,10,1.0,desktop,1.0,16,0
4,302,11,1.0,mobile,1.0,15,0
2,261,24,1.0,mobile,1.0,9,0
3,328,20,1.0,mobile,1.0,7,0
8,281,15,1.0,tablet,1.0,15,0
19,37,60,0.0,desktop,0.0,19,1
16,65,39,0.0,desktop,0.0,9,1
2,205,14,1.0,tablet,1.0,10,0
9,289,17,1.0,desktop,1.0,10,0
20,33,54,0.0,desktop,0.0,5,1
11,63,37,0.0,desktop,0.0,22,1
4,258,26,1.0,mobile,1.0,10,0
2,251,15,1.0,desktop,1.0,10,0
3,371,10,1.0,desktop,1.0,20,0
15,68,35,0.0,desktop,0.0,0,1
6,246,18,1.0,desktop,1.0,22,0
2,354,8,1.0,mobile,1.0,7,0
5,364,15,1.0,mobile,1.0,15,0
21,91,63,0.0,desktop,0.0,1,1
14,78,39,0.0,desktop,0.0,0,1
11,292,12,1.0,mobile,1.0,14,0
5,310,13,1.0,mobile,1.0,16,0
3,313,15,1.0,mobile,1.0,8,0
11,308,18,1.0,desktop,1.0,16,0
21,57,50,0.0,desktop,0.0,22,1
6,291,6,1.0,tablet,1.0,22,0
6,362,18,1.0,desktop,1.0,9,0
17,21,44,0.0,desktop,0.0,12,1
4,297,13,1.0,mobile,1.0,12,0
5,365,13,1.0,mobile,1.0,12,0
9,340,15,1.0,desktop,1.0,10,0
2,332,21,1.0,mobile,1.0,20,0
6,311,20,1.0,mobile,1.0,13,0
14,47,63,0.0,desktop,0.0,20,1
3,309,16,1.0,desktop,1.0,13,0
18,52,49,0.0,desktop,0.0,5,1
7,274,13,1.0,mobile,1.0,20,0
19,57,48,0.0,desktop,0.0,19,1
2,221,17,1.0,tablet,1.0,13,0
4,417,11,1.0,desktop,1.0,13,0
6,307,14,1.0,mobile,1.0,13,0
19,51,56,0.0,desktop,0.0,21,1
2,284,14,1.0,mobile,1.0,11,0
27,28,43,0.0,desktop,0.0,20,1
17,56,50,0.0,desktop,0.0,21,1
5,304,12,1.0,mobile,1.0,8,0
21,82,44,0.0,mobile,0.0,18,1
4,276,18,1.0,desktop,1.0,9,0
14,109,51,0.0,mobile,0.0,7,1
3,322,6,1.0,desktop,1.0,16,0
20,94,57,0.0,mobile,0.0,3,1
5,295,19,1.0,desktop,1.0,19,0
5,313,6,1.0,mobile,1.0,7,0
23,46,44,0.0,desktop,0.0,0,1
0,332,18,1.0,mobile,1.0,21,0
8,274,15,1.0,desktop,1.0,8,0
5,360,18,1.0,desktop,1.0,10,0
21,93,52,0.0,mobile,0.0,19,1
26,50,48,0.0,desktop,0.0,6,1
1,373,16,1.0,desktop,1.0,18,0
19,71,47,0.0,desktop,0.0,22,1
9,367,15,1.0,desktop,1.0,17,0
5,397,24,1.0,mobile,1.0,13,0
21,64,54,0.0,desktop,0.0,6,1
6,207,15,1.0,mobile,1.0,11,0
21,45,63,0.0,desktop,0.0,5,1
9,286,19,1.0,mobile,1.0,20,0
11,257,15,1.0,mobile,1.0,19,0
4,311,17,1.0,desktop,1.0,12,0
6,239,17,1.0,desktop,1.0,12,0
25,37,60,0.0,desktop,0.0,16,1
25,76,44,0.0,desktop,0.0,13,1
5,333,16,1.0,mobile,1.0,21,0
5,282,6,1.0,tablet,1.0,17,0
4,351,12,1.0,mobile,1.0,21,0
20,35,55,0.0,desktop,0.0,20,1
1,329,6,1.0,desktop,1.0,19,0
18,76,51,0.0,desktop,0.0,8,1
5,379,18,1.0,mobile,1.0,14,0
28,89,41,0.0,desktop,0.0,14,1
16,64,56,0.0,desktop,0.0,22,1
4,368,14,1.0,mobile,1.0,9,0
2,307,13,1.0,desktop,1.0,12,0
4,301,17,1.0,mobile,1.0,14,0
21,53,44,0.0,desktop,0.0,2,1
6,294,21,1.0,desktop,1.0,11,0
2,320,10,1.0,desktop,1.0,18,0
22,34,50,0.0,desktop,0.0,0,1
14,74,46,0.0,mobile,0.0,7,1
3,335,15,1.0,desktop,1.0,7,0
14,69,47,0.0,mobile,0.0,3,1
2,317,15,1.0,desktop,1.0,7,0
7,334,11,1.0,desktop,1.0,7,0
26,83,39,0.0,desktop,0.0,20,1
12,56,56,0.0,desktop,0.0,11,1
5,313,18,1.0,desktop,1.0,7,0
4,291,13,1.0,mobile,1.0,11,0
14,54,46,0.0,mobile,0.0,0,1
5,244,20,1.0,tablet,1.0,7,0
3,259,14,1.0,desktop,1.0,7,0
4,337,6,1.0,desktop,1.0,20,0
2,335,13,1.0,mobile,1.0,13,0
6,298,6,1.0,desktop,1.0,12,0
20,43,47,0.0,desktop,0.0,11,1
12,32,40,0.0,desktop,0.0,14,1
20,88,51,0.0,desktop,0.0,6,1
24,50,49,0.0,desktop,0.0,0,1
3,286,13,1.0,mobile,1.0,21,0
23,31,56,0.0,desktop,0.0,12,1
17,67,48,0.0,desktop,0.0,16,1
8,265,20,1.0,mobile,1.0,16,0
19,48,51,0.0,desktop,0.0,3,1
9,262,11,1.0,mobile,1.0,18,0
22,83,58,0.0,desktop,0.0,12,1
7,257,23,1.0,desktop,1.0,18,0
17,71,40,0.0,mobile,0.0,21,1
27,67,54,0.0,desktop,0.0,20,1
23,65,54,0.0,desktop,0.0,1,1
12,72,46,0.0,desktop,0.0,12,1
4,278,19,1.0,desktop,1.0,10,0
18,76,53,0.0,desktop,0.0,14,1
20,48,61,0.0,desktop,0.0,9,1
26,57,43,0.0,desktop,0.0,4,1
3,317,13,1.0,tablet,1.0,15,0
6,359,13,1.0,desktop,1.0,8,0
4,187,12,1.0,mobile,1.0,10,0
5,397,15,1.0,desktop,1.0,15,0
29,51,52,0.0,desktop,0.0,15,1
4,360,8,1.0,mobile,1.0,17,0
3,275,19,1.0,desktop,1.0,22,0
16,49,37,0.0,desktop,0.0,21,1
11,77,47,0.0,desktop,0.0,1,1
20,5,43,0.0,desktop,0.0,0,1
5,201,11,1.0,desktop,1.0,22,0
7,290,16,1.0,mobile,1.0,21,0
4,301,19,1.0,desktop,1.0,22,0
15,51,45,0.0,mobile,0.0,2,1
3,358,16,1.0,desktop,1.0,13,0
6,259,16,1.0,desktop,1.0,22,0
5,281,23,1.0,mobile,1.0,17,0
21,34,43,0.0,desktop,0.0,9,1
15,54,55,0.0,desktop,0.0,2,1
10,59,57,0.0,desktop,0.0,13,1
11,104,55,0.0,desktop,0.0,13,1
19,67,44,0.0,desktop,0.0,20,1
7,208,19,1.0,desktop,1.0,19,0
7,381,23,1.0,mobile,1.0,19,0
20,55,58,0.0,desktop,0.0,16,1
8,395,14,1.0,desktop,1.0,17,0
2,431,10,1.0,desktop,1.0,7,0
20,16,44,0.0,desktop,0.0,12,1
8,234,14,1.0,mobile,1.0,13,0
23,49,42,0.0,desktop,0.0,5,1
16,31,48,0.0,desktop,0.0,20,1
7,345,14,1.0,desktop,1.0,12,0
5,223,11,1.0,mobile,1.0,21,0
5,244,18,1.0,desktop,1.0,19,0
5,332,15,1.0,desktop,1.0,14,0
25,80,44,0.0,desktop,0.0,19,1
30,54,42,0.0,desktop,0.0,22,1
15,46,52,0.0,mobile,0.0,11,1
26,100,65,0.0,desktop,0.0,17,1
19,46,47,0.0,desktop,0.0,19,1
6,201,16,1.0,tablet,1.0,21,0
4,306,13,1.0,desktop,1.0,13,0
28,110,53,0.0,desktop,0.0,17,1
5,285,21,1.0,desktop,1.0,15,0
25,28,49,0.0,desktop,0.0,18,1
15,57,44,0.0,desktop,0.0,15,1
4,244,19,1.0,mobile,1.0,7,0
20,75,54,0.0,desktop,0.0,18,1
19,99,59,0.0,desktop,0.0,0,1
16,65,37,0.0,desktop,0.0,10,1
4,386,11,1.0,desktop,1.0,18,0
8,320,10,1.0,desktop,1.0,22,0
18,71,49,0.0,desktop,0.0,18,1
27,58,49,0.0,desktop,0.0,11,1
23,49,53,0.0,desktop,0.0,18,1
2,257,14,1.0,desktop,1.0,21,0
5,326,12,1.0,mobile,1.0,19,0
22,81,43,0.0,desktop,0.0,14,1
19,47,45,0.0,desktop,0.0,5,1
19,60,51,0.0,desktop,0.0,8,1
24,51,49,0.0,desktop,0.0,16,1
3,350,11,1.0,mobile,1.0,16,0
2,346,9,1.0,desktop,1.0,7,0
8,345,16,1.0,desktop,1.0,9,0
16,60,51,0.0,desktop,0.0,10,1
6,344,14,1.0,desktop,1.0,10,0
4,273,21,1.0,desktop,1.0,8,0
20,64,48,0.0,desktop,0.0,15,1
4,296,15,1.0,mobile,1.0,13,0
22,48,40,0.0,desktop,0.0,22,1
3,236,13,1.0,desktop,1.0,14,0
5,385,15,1.0,tablet,1.0,13,0
23,51,52,0.0,mobile,0.0,18,1
14,71,57,0.0,desktop,0.0,21,1
17,62,50,0.0,desktop,0.0,5,1
15,64,42,0.0,desktop,0.0,6,1
5,326,11,1.0,mobile,1.0,7,0
4,288,20,1.0,desktop,1.0,16,0
19,51,51,0.0,desktop,0.0,17,1
21,86,40,0.0,desktop,0.0,23,1
6,274,12,1.0,desktop,1.0,9,0
17,69,41,0.0,desktop,0.0,1,1
3,324,7,1.0,mobile,1.0,16,0
26,96,56,0.0,desktop,0.0,22,1
6,316,23,1.0,mobile,1.0,12,0
25,80,58,0.0,desktop,0.0,17,1
1,254,12,1.0,desktop,1.0,14,0
6,341,18,1.0,mobile,1.0,22,0
20,27,40,0.0,desktop,0.0,15,1
15,80,56,0.0,mobile,0.0,8,1
16,48,44,0.0,desktop,0.0,1,1
21,54,52,0.0,desktop,0.0,19,1
10,289,17,1.0,mobile,1.0,10,0
6,188,18,1.0,mobile,1.0,11,0
6,289,8,1.0,desktop,1.0,18,0
20,43,36,0.0,desktop,0.0,17,1
32,76,47,0.0,desktop,0.0,4,1
21,63,50,0.0,desktop,0.0,3,1
16,73,48,0.0,desktop,0.0,4,1
18,37,39,0.0,desktop,0.0,0,1
5,321,12,1.0,mobile,1.0,22,0
0,265,13,1.0,desktop,1.0,16,0
7,340,12,1.0,desktop,1.0,17,0
31,40,45,0.0,desktop,0.0,15,1
5,313,16,1.0,desktop,1.0,22,0
6,326,17,1.0,mobile,1.0,8,0
2,342,22,1.0,desktop,1.0,9,0
14,50,49,0.0,desktop,0.0,12,1
3,260,17,1.0,tablet,1.0,19,0
3,325,17,1.0,mobile,1.0,17,0
17,33,49,0.0,desktop,0.0,14,1
6,304,11,1.0,desktop,1.0,14,0
4,213,12,1.0,desktop,1.0,15,0
23,52,55,0.0,mobile,0.0,22,1
18,70,50,0.0,desktop,0.0,7,1
6,312,9,1.0,mobile,1.0,17,0
6,181,18,1.0,desktop,1.0,9,0
3,341,19,1.0,mobile,1.0,12,0
21,81,59,0.0,mobile,0.0,8,1
15,57,50,0.0,desktop,0.0,7,1
3,259,11,1.0,mobile,1.0,22,0
16,26,42,0.0,desktop,0.0,16,1
15,70,39,0.0,desktop,0.0,18,1
19,119,43,0.0,desktop,0.0,7,1
24,81,54,0.0,desktop,0.0,2,1
24,85,61,0.0,desktop,0.0,20,1
15,84,52,0.0,desktop,0.0,14,1
24,73,50,0.0,desktop,0.0,10,1
5,358,24,1.0,mobile,1.0,16,0
14,104,44,0.0,desktop,0.0,15,1
21,15,65,0.0,desktop,0.0,3,1
5,293,13,1.0,mobile,1.0,14,0
4,211,10,1.0,desktop,1.0,10,0
21,67,39,0.0,desktop,0.0,18,1
2,286,14,1.0,mobile,1.0,17,0
12,61,50,0.0,desktop,0.0,20,1
24,22,55,0.0,desktop,0.0,11,1
22,55,49,0.0,desktop,0.0,20,1
4,281,18,1.0,mobile,1.0,12,0
18,51,47,0.0,desktop,0.0,11,1
19,69,46,0.0,desktop,0.0,20,1
3,222,21,1.0,mobile,1.0,7,0
7,290,9,1.0,mobile,1.0,18,0
1,340,11,1.0,tablet,1.0,15,0
2,261,14,1.0,desktop,1.0,15,0
15,41,46,0.0,desktop,0.0,18,1
20,60,50,0.0,desktop,0.0,8,1
2,305,13,1.0,desktop,1.0,21,0
13,53,48,0.0,desktop,0.0,9,1
5,330,17,1.0,mobile,1.0,14,0
28,56,58,0.0,desktop,0.0,17,1
13,62,56,0.0,desktop,0.0,17,1
23,48,53,0.0,desktop,0.0,18,1
22,59,43,0.0,desktop,0.0,22,1
1,267,12,1.0,desktop,1.0,21,0
17,49,54,0.0,desktop,0.0,13,1
8,283,17,1.0,tablet,1.0,15,0
14,94,42,0.0,desktop,0.0,21,1
4,286,18,1.0,desktop,1.0,7,0
8,386,19,1.0,desktop,1.0,21,0
7,315,21,1.0,desktop,1.0,13,0
26,25,55,0.0,desktop,0.0,4,1
13,25,58,0.0,desktop,0.0,19,1
6,413,7,1.0,tablet,1.0,22,0
3,291,18,1.0,desktop,1.0,9,0
4,374,14,1.0,mobile,1.0,15,0
6,345,17,1.0,desktop,1.0,9,0
23,61,59,0.0,desktop,0.0,14,1
2,281,13,1.0,desktop,1.0,16,0
3,258,17,1.0,mobile,1.0,16,0
15,34,48,0.0,desktop,0.0,1,1
17,111,52,0.0,desktop,0.0,17,1
28,59,49,0.0,desktop,0.0,11,1
8,316,10,1.0,desktop,1.0,10,0
16,70,48,0.0,desktop,0.0,3,1
6,308,18,1.0,mobile,1.0,22,0
27,90,50,0.0,desktop,0.0,16,1
5,360,20,1.0,desktop,1.0,10,0
12,42,50,0.0,desktop,0.0,2,1
7,301,10,1.0,mobile,1.0,12,0
19,98,49,0.0,desktop,0.0,16,1
18,31,58,0.0,desktop,0.0,4,1
21,51,41,0.0,desktop,0.0,12,1
20,56,50,0.0,desktop,0.0,23,1
19,79,49,0.0,desktop,0.0,3,1
5,249,14,1.0,desktop,1.0,13,0
29,80,49,0.0,desktop,0.0,10,1
27,50,56,0.0,desktop,0.0,11,1
6,258,12,1.0,mobile,1.0,11,0
28,71,49,0.0,desktop,0.0,13,1
19,44,41,0.0,desktop,0.0,12,1
16,54,49,0.0,desktop,0.0,7,1
21,51,57,0.0,desktop,0.0,14,1
9,337,17,1.0,desktop,1.0,10,0
7,260,15,1.0,mobile,1.0,11,0
28,62,51,0.0,desktop,0.0,22,1
13,64,49,0.0,desktop,0.0,10,1
27,56,50,0.0,desktop,0.0,3,1
14,83,51,0.0,desktop,0.0,12,1
6,275,16,1.0,desktop,1.0,16,0
5,195,11,1.0,desktop,1.0,17,0
4,370,17,1.0,desktop,1.0,16,0
19,46,43,0.0,desktop,0.0,2,1
20,53,50,0.0,desktop,0.0,17,1
6,330,14,1.0,mobile,1.0,14,0
4,355,21,1.0,mobile,1.0,18,0
4,260,14,1.0,mobile,1.0,13,0
3,345,14,1.0,desktop,1.0,12,0
20,32,46,0.0,desktop,0.0,20,1
8,357,16,1.0,desktop,1.0,19,0
20,71,51,0.0,desktop,0.0,14,1
17,64,57,0.0,desktop,0.0,7,1
17,58,53,0.0,desktop,0.0,21,1
6,274,8,1.0,desktop,1.0,14,0
20,54,48,0.0,desktop,0.0,7,1
5,312,13,1.0,mobile,1.0,21,0
21,49,45,0.0,desktop,0.0,9,1
16,74,52,0.0,desktop,0.0,8,1
4,336,16,1.0,mobile,1.0,16,0
1,241,18,1.0,tablet,1.0,16,0
8,240,12,1.0,desktop,1.0,7,0
19,94,44,0.0,desktop,0.0,23,1
3,198,18,1.0,mobile,1.0,11,0
1,335,13,1.0,desktop,1.0,16,0
27,50,48,0.0,desktop,0.0,7,1
22,27,55,0.0,desktop,0.0,18,1
4,316,10,1.0,tablet,1.0,18,0
27,58,45,0.0,desktop,0.0,1,1
22,59,53,0.0,desktop,0.0,0,1
19,70,51,0.0,desktop,0.0,7,1
3,248,7,1.0,mobile,1.0,15,0
4,270,7,1.0,desktop,1.0,11,0
23,74,43,0.0,desktop,0.0,14,1
9,337,12,1.0,tablet,1.0,17,0
17,37,53,0.0,desktop,0.0,6,1
4,261,10,1.0,tablet,1.0,16,0
27,63,51,0.0,desktop,0.0,11,1
14,54,58,0.0,desktop,0.0,7,1
20,91,52,0.0,mobile,0.0,13,1
3,226,18,1.0,desktop,1.0,21,0
5,386,21,1.0,mobile,1.0,20,0
32,94,46,0.0,desktop,0.0,6,1
5,276,14,1.0,mobile,1.0,7,0
14,64,55,0.0,desktop,0.0,6,1
2,295,18,1.0,mobile,1.0,20,0
18,41,47,0.0,desktop,0.0,17,1
22,36,33,0.0,desktop,0.0,5,1
6,300,12,1.0,desktop,1.0,7,0
20,39,53,0.0,desktop,0.0,20,1
22,16,57,0.0,desktop,0.0,14,1
25,63,47,0.0,desktop,0.0,10,1
4,253,11,1.0,mobile,1.0,22,0
4,288,13,1.0,mobile,1.0,12,0
19,28,67,0.0,desktop,0.0,17,1
